transaction_date,transaction_description,transaction_amount,bank_account_id
10/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
10/1/2023,Consulting Services for Google,-5000.00,bankaccount1
10/1/2023,Office Rent Payment,2500.00,bankaccount1
10/2/2023,Software License Purchase,1200.00,bankaccount1
10/2/2023,Nvidia GPU Procurement,8000.00,bankaccount1
10/2/2023,Employee Salary Payment,4500.00,bankaccount1
10/3/2023,Meta AI Project Milestone Payment,-10000.00,bankaccount1
10/3/2023,Cloud Computing Expenses,800.00,bankaccount1
10/3/2023,Office Supplies Purchase,250.00,bankaccount1
10/4/2023,AI Training Workshop Income,-2500.00,bankaccount1
10/4/2023,Travel Expenses for Client Meeting,750.00,bankaccount1
10/4/2023,Internet and Utilities Payment,300.00,bankaccount1
10/5/2023,GPU Sale to Startup Company,-8000.00,bankaccount1
10/5/2023,Marketing Campaign Expenses,1500.00,bankaccount1
10/5/2023,Professional Development Course,600.00,bankaccount1
10/6/2023,Consulting Services for IBM,-6000.00,bankaccount1
10/6/2023,Health Insurance Premium,1000.00,bankaccount1
10/6/2023,Office Equipment Maintenance,400.00,bankaccount1
10/7/2023,AI Model Licensing Fee from Client,-3500.00,bankaccount1
10/7/2023,Employee Bonus Payment,2000.00,bankaccount1
10/7/2023,Business Lunch with Potential Client,150.00,bankaccount1
10/8/2023,GPU Sale to Research Institution,-12000.00,bankaccount1
10/8/2023,Software Subscription Renewal,500.00,bankaccount1
10/8/2023,Office Cleaning Service,200.00,bankaccount1
10/9/2023,Consulting Services for Meta,-7000.00,bankaccount1
10/9/2023,Tax Payment,5000.00,bankaccount1
10/9/2023,Team Building Event Expenses,800.00,bankaccount1
10/10/2023,AI Algorithm Licensing Fee,-4000.00,bankaccount1
10/10/2023,Legal Services Payment,1500.00,bankaccount1
10/10/2023,Office Furniture Purchase,1200.00,bankaccount1
10/11/2023,GPU Sale to Google,-18000.00,bankaccount1
10/11/2023,Employee Training Program,2000.00,bankaccount1
10/11/2023,Client Refund for Overpayment,500.00,bankaccount1
10/12/2023,Consulting Services for Nvidia,-5500.00,bankaccount1
10/12/2023,Server Maintenance Costs,700.00,bankaccount1
10/12/2023,Business Conference Registration Fee,600.00,bankaccount1
10/13/2023,AI Model Customization Project Income,-9000.00,bankaccount1
10/13/2023,Office Lease Security Deposit,3000.00,bankaccount1
10/13/2023,Employee Expense Reimbursement,350.00,bankaccount1
10/14/2023,GPU Sale to AI Startup,-10000.00,bankaccount1
10/14/2023,Accounting Services Payment,800.00,bankaccount1
10/14/2023,Office Snacks and Beverages,100.00,bankaccount1
10/15/2023,Consulting Services for Tech Startup,-4500.00,bankaccount1
10/15/2023,Employee Health Benefits,1200.00,bankaccount1
10/15/2023,Domain Name Renewal,50.00,bankaccount1
10/16/2023,AI Workshop Income,-3000.00,bankaccount1
10/16/2023,Cloud Storage Upgrade,400.00,bankaccount1
10/16/2023,Office Plant Maintenance,75.00,bankaccount1
10/17/2023,GPU Sale to Research Lab,-14000.00,bankaccount1
10/17/2023,Employee Retirement Plan Contribution,2000.00,bankaccount1
10/17/2023,Business Cards Printing,150.00,bankaccount1
10/18/2023,Consulting Services for IBM,-6500.00,bankaccount1
10/18/2023,Software Development Tools Purchase,1000.00,bankaccount1
10/18/2023,Office Water Delivery Service,80.00,bankaccount1
10/19/2023,AI Model Deployment Project Income,-8500.00,bankaccount1
10/19/2023,Professional Liability Insurance Premium,1500.00,bankaccount1
10/19/2023,Team Lunch Expense,200.00,bankaccount1
10/20/2023,GPU Sale to University,-11000.00,bankaccount1
10/20/2023,Office Security System Upgrade,2000.00,bankaccount1
10/20/2023,Industry Magazine Subscriptions,120.00,bankaccount1
10/21/2023,Consulting Services for Google,-7500.00,bankaccount1
10/21/2023,Employee Performance Bonuses,3000.00,bankaccount1
10/21/2023,Office Supplies Restocking,300.00,bankaccount1
10/22/2023,AI Algorithm Licensing Fee,-5000.00,bankaccount1
10/22/2023,Travel Expenses for AI Conference,1800.00,bankaccount1
10/22/2023,Client Gift Purchase,250.00,bankaccount1
10/23/2023,GPU Sale to Meta,-16000.00,bankaccount1
10/23/2023,Office Renovation Costs,5000.00,bankaccount1
10/23/2023,Team Building Workshop Expenses,1000.00,bankaccount1
10/24/2023,Consulting Services for Startup,-4000.00,bankaccount1
10/24/2023,Marketing Material Design Services,800.00,bankaccount1
10/24/2023,Office Coffee Machine Purchase,500.00,bankaccount1
10/25/2023,AI Training Dataset Purchase,3000.00,bankaccount1
10/25/2023,Employee Transportation Allowance,600.00,bankaccount1
10/25/2023,Office Printer Maintenance,150.00,bankaccount1
10/26/2023,GPU Sale to AI Research Firm,-13000.00,bankaccount1
10/26/2023,Professional Certification Fees for Employees,2500.00,bankaccount1
10/26/2023,Client Meeting Expenses,200.00,bankaccount1
10/27/2023,Consulting Services for Nvidia,-8000.00,bankaccount1
10/27/2023,Office Lease Payment,3500.00,bankaccount1
10/27/2023,Employee Wellness Program Expenses,400.00,bankaccount1
10/28/2023,AI Model Optimization Project Income,-7000.00,bankaccount1
10/28/2023,Business Insurance Premium,1200.00,bankaccount1
10/28/2023,Office Electrical Maintenance,300.00,bankaccount1
10/29/2023,GPU Sale to Tech Startup,-9500.00,bankaccount1
