Month: 5, Year: 2023

Description: GPU sale to Google, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 15000.0
Description: Consulting services for IBM, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 5000.0
Description: GPU sale to Meta, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 12000.0
Description: Consulting services for Nvidia, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 6000.0
Description: GPU sale to Microsoft, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 18000.0
Description: Licensing fee income from startup, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 2500.0
Description: Consulting services for Amazon, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 7000.0
Description: GPU sale to Apple, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 20000.0
Description: Consulting services for Tesla, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 8000.0
Description: GPU sale to Intel, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 16000.0
Description: Consulting services for Oracle, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 5500.0
Description: GPU sale to AMD, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 14000.0
Description: Licensing fee income from mid-size company, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 3000.0
Description: Consulting services for Salesforce, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 6500.0
Description: GPU sale to Qualcomm, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 13000.0
Description: Consulting services for Adobe, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 7500.0
Description: GPU sale to Twitter, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 11000.0
Description: Licensing fee income from large corporation, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 4000.0
Description: Consulting services for LinkedIn, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 6000.0
Description: Office lease deposit refund, Classification: non-revenue, Justification: Refund is not a revenue item, Total Amount: 1000.0
Description: GPU sale to Uber, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 10000.0
Description: Consulting services for Airbnb, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 5500.0
Description: GPU sale to Lyft, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 9000.0
Description: Licensing fee income from government agency, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 5000.0
Description: Consulting services for Spotify, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 6500.0
Description: GPU sale to Netflix, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 17000.0
Description: Consulting services for Snapchat, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 5000.0
Description: GPU sale to Dropbox, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 8000.0
Description: Licensing fee income from educational institution, Classification: revenue, Justification: Licensing fee income is a revenue item, Total Amount: 2000.0
Description: Consulting services for Pinterest, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 4500.0
Description: GPU sale to Zoom, Classification: revenue, Justification: GPU sale to a client is a revenue item, Total Amount: 12000.0
Description: Consulting services for Twitch, Classification: revenue, Justification: Consulting services provided to a client are a revenue item, Total Amount: 5500.0
